SCHOOL,DISTRICT,CODE,NAME,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SEC,THIRD,PASS,FAIL,PASS.PERCENT
1742,BHAKTAPUR,28015,BODE MA VI BODE,41,51,47,40,40,42,65,65,0,13,33,0,46,19,71
2388,KATHMANDU,29595,BON SKYLARK INT'L SECONDARY SCHOOL RINGRO,59,6,68,51,49,45,7,7,0,5,0,0,5,2,71
97,ILAM,3007,BOUDDHADHAM MA VI PASHUPATINAGAR,2,45,36,31,4,35,70,70,0,0,25,6,31,39,44
2079,KATHMANDU,29265,BOUDHA ENGLISH MA VI BOUDHA RAMHITY,54,57,66,3,38,47,23,23,0,12,11,0,23,0,100
1017,SIRAHA,16002,BRAJMOHAN JHABBURAM JANATA MA VI MADAR,21,34,2,20,30,30,41,40,0,1,8,2,11,29,28
3132,KASKI,41034,BRAMHA RUPA MA VI RAJAKA CHAUTARA,40,49,5,37,53,49,72,72,2,21,28,4,55,17,76
2504,LALITPUR,32120,BRIGHT FUTURE BOARDING MA VI SATDOBATO,54,50,55,34,48,5,21,21,0,9,8,0,17,4,81
3335,TANAHUN,42073,BRIGHT FUTURE ENGLISH SCHOOL BELCHAUTARA,6,66,92,6,58,54,55,55,18,37,0,0,55,0,100
644,MORANG,9149,BRIGHT FUTURE ENGLISH SCHOOL SALAKPURBAZA,55,61,62,55,65,55,20,20,1,19,0,0,20,0,100
1605,DHADING,26052,BRIGHT FUTURE MA VI MALEKHU,57,60,57,36,54,58,17,17,1,8,2,0,11,6,65
1994,KATHMANDU,29173,BRIGHT FUTURE MA VI TINTHANA NAIKAP,65,67,83,62,59,58,73,73,24,49,0,0,73,0,100
2248,KATHMANDU,29444,BRIGHT LAND ENGLISH SECONDARY SCHOOL BHO,57,63,62,39,54,55,13,13,3,4,3,0,10,3,77
1823,BHAKTAPUR,28099,BRIGHT STAR ENGLISH SCHOOL RAM MANDIR,63,67,81,49,54,54,23,23,3,20,0,0,23,0,100
